"","Candy","Flowers","Jewelry","Greeting cards","An evening out","Clothing","Gift cards"
"18-24","70%","50%","33%","33%","41%","33%","23%"
"25-34","62%","44%","34%","33%","37%","27%","19%"
"35-44","58%","41%","29%","42%","30%","26%","22%"
"45-54","60%","37%","20%","42%","31%","20%","23%"
"55-64","50%","32%","13%","43%","29%","19%","20%"
"65+","42%","25%","8%","44%","24%","12%","20%"
